1,Timestamp,Org,Title / Role,Old Level,New Level,Location,Rating,Unvested RSUs,Old Base,Promoted?,New Base,Base Increase,RSU Grant,Bonus,Total YoE,YoE @ Apple,Details
2,9/20/2023 8:29:19,AIML,AIML,ICT3,ICT4,Seattle,8,"$200,000","$167,000",Y,"$180,000",10,"$160,000","$22,000",3,1.5,Old level typo corrected
3,9/20/2023 9:25:23,HWT,Mech Eng,ICT3,ICT3,SCV,7,"$100,000","$160,000",N,"$166,000",3.75,"$70,000","$12,000",1,2,Manual fix needed; dollars to be converted to thousands
4,9/20/2023 9:59:58,SPG,Staff SW Eng,ICT5,ICT5,LCOL,7,"$550,000","$210,000",N,"$220,000",3.6,"$160,000","$47,000",19,8,Manual fix needed; dollars to be converted to thousands
5,9/20/2023 10:31:16,Ops,Ops,Ict5,ICT5,SCV,9,"$470,000","$230,000",N,"$250,000",6,"$300,000","$40,000",7,4,
6,9/20/2023 11:06:06,HWT,Verification,ICT3,ICT3,Austin,7,"$300,000","$141,000",N,"$145,000",3,"$60,000","$10,000",3,3,Manual fix needed; dollars to be converted to thousands
7,9/20/2023 11:11:49,HWE,SW,ICT4,ICT4,SCV,6,"$250,000","$187,000",N,"$193,000",3.34,"$100,000","$21,500",5,5,
8,9/20/2023 12:51:04,HWT,EPM,ICT3,ICT3,Austin,6,"$689,000","$150,000",N,"$154,000",2.66,"$45,000","$11,000",7,1,Manual fix needed; dollars to be converted to thousands
9,9/20/2023 14:23:57,Ops,DFM Engineer,ICT5,ICT5,SCV,6,"$285,000","$200,000",N,"$207,000",3.5,"$80,000","$21,000",13,0.5,
10,9/20/2023 14:35:37,IS&T,Security Engineer,ICT3,ICT3,ICT3,7,"$200,000","$160,000",N,"$165,000",3.5,"$65,000","$16,000",6,3,Manual fix needed; dollars to be converted to thousands
11,9/20/2023 14:43:19,IS&T,ICT5,ICT4,ICT5,Austin,8,"$250,000","$175,000",Y,"$210,000",4,"$230,000","$28,000",8,3,Manual fix needed; dollars to be converted to thousands; Should be ICT5
12,9/20/2023 16:20:37,Ase,iOS engineer,ICT4,ICT4,Scv,7,"$606,000","$220,000",N,"$229,000",4.05,"$145,000","$27,500",11,1,
13,9/20/2023 17:36:28,Services,ML Engineer,ICT3,ICT4,London,9,"$219,505","$137,700",Y,"$155,735",13,"$162,000","$17,243",6,3,
14,9/20/2023 17:53:22,Ops,PM,IC3,IC3,SCV,6,"$127,000","$157,000",N,"$162,000",3.4,"$3,000","$7,000",9,3,
15,9/20/2023 19:07:43,SWE,ICT3,ICT3,ICT3,SCV,8,"$158,000","$150,700",N,"$156,800",4.05,"$90,000","$19,600",3,3,
16,9/20/2023 19:37:22,AI/ML,ML Research Engineer,ICT3,ICT4,NYC,9,"$305,000","$172,000",Y,"$191,000",11,"$200,000","$20,000",2,2,
17,9/20/2023 20:20:56,HWT,Hardware design engineer,ICT2,ICT2,SCV,7,"$70,000","$130,000",N,"$134,680",3.6,"$20,000","$8,000",1,1,
18,9/20/2023 20:36:35,HWE,EE,ICT4,ICT4,Austin,8,"$190,000","$183,000",N,"$190,600",4,"$124,600","$25,000",19,3,
19,9/20/2023 21:12:47,SOS,Data science,IC3,IC3,SCV,8,"$79,000","$145,000",N,"$151,000",4.14,"$40,000","$18,000",7,1,
20,9/20/2023 21:18:30,Ops,Product Engineer,IC4,IC4,SCV,7,"$167,000","$176,000",N,"$182,700",3.5,"$98,500","$20,000",10,3,
21,9/20/2023 22:07:59,AI/ML,Software engineer,Ict4,M1,Seattle,8,"$315,000","$207,000",Y,"$212,000",3.62,"$138,000","$29,500",13,10,
22,9/20/2023 22:42:33,HWT,Validation,ICT4,ICT4,SCV,6,"$350,000","$196,000",N,"$203,000",3.5,"$80,000","$20,000",9,0.5,
23,9/20/2023 23:08:58,IS&T,Eng,ICT4,ICT4,SCV,9,"$330,000","$198,000",N,"$206,000",4,"$180,000","$30,000",9,9,
24,9/20/2023 23:33:37,HWT,HW Eng,ICT4,ICT4,SCV,8,"$350,000","$212,000",N,"$220,000",3.9,"$190,000","$32,000",7,6,
25,9/20/2023 23:53:27,AMP,Marketing Manager,IC4,IC4,SCV,7,"$160,000","$212,000",N,"$212,000",3,"$77,000","$22,000",16,7,
26,9/21/2023 0:25:44,AIML,MLE,ICT3,ICT4,SEA,8,"$290,000","$164,000",Y,"$182,000",10,"$190,000","$18,000",3,3,
27,9/21/2023 5:23:21,Services,Software Engineer,ICT4,ICT4,SCV,8,"$400,000","$210,000",N,"$218,000",3.5,"$150,000","$35,000",10,1.5,
28,9/21/2023 8:10:32,Services,Eng,ICT5,ICT5,SCV,9,"$1,600,000","$290,000",N,"$300,000",3.6,"$320,000","$70,000",16,2.5,
29,9/21/2023 9:10:06,Services,Predict manager,ICT4,ICT4,Scv,7,"$154,500","$180,000",N,"$187,200",4,"$100,000","$20,000",9,1,
30,9/21/2023 9:18:52,SWE,Distributed Systems Dev Enginer,ICT3,ICT4,SCV,9,"$180,000","$150,000",Y,"$180,000",20,"$230,000","$30,000",3,1,
31,9/21/2023 10:19:19,Services,DevOps Engineer,ICT4,ICT4,London,6,"$380,000","$135,000",N,"$140,000",4,"$80,000","$12,500",9,3,
32,9/21/2023 10:58:12,Ops,PM,ICT4,ICT4,SCV,9,"$210,000","$180,000",N,"$187,000",4,"$100,000","$35,000",15,4,
33,9/21/2023 10:59:16,AIML,Principle Engineer,ICT4,ICT5,SCV,9,"$750,000","$250,000",Y,"$275,000",10,"$300,000","$50,000",7,6,
34,9/21/2023 12:24:52,Services,Engineer,IC5,IC5,SCV,7,"$230,000","$189,000",N,"$198,000",5,"$85,000","$17,000",20,8,
35,9/21/2023 12:26:46,Services,M3,M3,M3,SCV,8,"$750,000","$276,000",N,"$298,000",8,"$180,000","$60,000",23,7,
36,9/21/2023 14:06:37,Services,Senior Machine Learning Research Engineer,ICT4,ICT4,New York,6,"$375,000","$220,000",N,"$231,705",5.32,"$140,000","$22,000",5,1,
37,9/21/2023 14:14:51,ACI,Sre,IC4,IC4,Austin,6,"$650,000","$195,000",N,"$200,000",3,"$80,000","$18,000",15,1,
38,9/21/2023 14:21:13,Services,Senior Software Engineer,ICT4,ICT4,SCV,7,"$336,000","$208,000",N,"$215,000",3.5,"$100,000","$23,000",6,3,
39,9/21/2023 14:43:27,SEG,HW,ICT4,ICT4,SCV,6,"$312,000","$180,000",N,"$190,000",4.5,"$94,000","$28,000",6,6,
40,9/21/2023 14:46:19,AIML,MLE,ICT3,ICT4,SCV,9,"$300,000","$155,000",Y,"$175,000",12.9,"$200,000","$20,000",2,2,
41,9/21/2023 14:51:30,HWT,AMS,ICT4,ICT4,SCV,6,"$260,000","$205,000",N,"$210,630",2.75,"$78,000","$17,000",10,0,
42,9/21/2023 15:49:56,SEG,CAD,ICT4,ICT4,SCV,8,"$365,000","$225,000",N,"$230,000",3,"$150,000","$30,000",22,4,
43,9/21/2023 16:13:48,HWT,System Engineer,ICT4,ICT4,SCV,7,"$430,000","$199,000",N,"$207,800",4.3,"$157,000","$18,000",9,6,
44,9/21/2023 16:39:36,ASE,SWE,ICT4,ICT4,SCV,7,"$290,000","$193,000",N,"$198,000",2.5,"$100,000","$25,000",12,2,
45,9/21/2023 19:30:16,Ops,Gsm,IC5,IC5,SCV,7,"$345,000","$195,000",N,"$202,000",3.5,"$150,000","$32,000",10,2.5,
46,9/21/2023 20:14:04,HWT,ASIC Design Engineer,ICT4,ICT4,SCV,7,"$424,027","$203,425",N,"$210,545",3.5,"$175,000","$27,012",7,7,
47,9/21/2023 20:36:13,Services,Software Engineer,ICT4,ICT4,SCV,7,"$374,552","$199,800",N,"$206,793",3.5,"$116,000","$28,000",5,2,
